wall_ms,sse,stage
889956,1420.2155126494274,construct
923661,1382.1862257937285,schedule
931423,1380.9296059418882,schedule
939077,1380.1832299353493,schedule
948131,1379.6604489822068,schedule
954764,1376.1921747158126,schedule
961624,1374.4982021786852,schedule
969053,1368.3947822158566,schedule
976179,1367.3700786576637,schedule
985794,1366.992490903764,schedule
992956,1366.7358351843877,schedule
1003214,1366.5972498634237,schedule
1009596,1366.3597234897986,schedule
1017402,1365.3842633940953,schedule
1025377,1364.8007992429539,schedule
1034081,1364.1202083767735,schedule
1041715,1363.5196547117534,schedule
1049419,1363.047618454462,schedule
1055253,1362.4953721977604,schedule
1060770,1362.1048171735438,schedule
1066516,1359.8872958573581,schedule
1072755,1356.9269577948694,schedule
1078105,1355.546215927287,schedule
1297538,1312.8981490798806,schedule
1415455,1311.8986228017848,schedule
1424529,1311.8959824790345,schedule
1430687,1311.4639307634316,schedule
1436704,1309.292432862838,schedule
1442886,1308.3489606376133,schedule
1450779,1307.0792221722222,schedule
1456505,1304.0716719808315,schedule
1466234,1304.071037590398,schedule
1475763,1303.5523438600624,schedule
1484232,1302.985487089341,schedule
1489367,1302.426117844816,schedule
1495827,1301.976737724193,schedule
1502917,1301.7535845724183,schedule
1509325,1301.0072577512842,schedule
1516678,1300.9091873269197,schedule
1521535,1300.7358858183952,schedule
1526803,1299.5386531838574,schedule
1532066,1298.892421223795,schedule
1537497,1296.8434247244616,schedule
1542899,1296.79230605713,schedule
1549252,1296.4454050224608,schedule
1556079,1295.6859467008242,schedule
1563675,1295.1864635091097,schedule
1756385,1293.0223695137834,schedule
1777897,1291.716345276049,schedule
1784434,1290.9461736901592,schedule
1791780,1290.1188362851947,schedule
1800047,1289.097400334806,schedule
1807739,1288.4384765525592,schedule
1821717,1288.3825784992734,schedule
1831529,1288.2896719751457,schedule
1839809,1287.899493487002,schedule
1849739,1287.3496787305824,schedule
1855940,1287.1212878886008,schedule
1862096,1286.769681826737,schedule
1867564,1285.245021951535,schedule
1873410,1281.931022860363,schedule
1879085,1281.3071642386076,schedule
1884831,1280.7938459253187,schedule
1891535,1280.6353165501575,schedule
1899078,1280.5792819222304,schedule
1905621,1280.2627266444763,schedule
1914784,1279.9059624076108,schedule
1921153,1272.8266553076614,schedule
2106731,1270.5722112025853,schedule
2223722,1269.7789415316029,schedule
2234528,1269.435529991692,schedule
2242234,1268.7700146373222,schedule
2267097,1268.4633672987688,schedule
2277742,1265.0381257282447,schedule
2285740,1264.501071840267,schedule
2292980,1261.0240228667985,schedule
