wall_ms,sse,stage
535004,1420.2155126494274,construct
552471,1382.1862257937285,schedule
556593,1380.9296059418882,schedule
560825,1380.1832299353493,schedule
565537,1379.6604489822068,schedule
568809,1376.1921747158126,schedule
572425,1374.4982021786852,schedule
576499,1368.3947822158566,schedule
580392,1367.3700786576637,schedule
585603,1366.992490903764,schedule
589527,1366.7358351843877,schedule
595245,1366.5972498634237,schedule
598803,1366.3597234897986,schedule
603161,1365.3842633940953,schedule
607477,1364.8007992429539,schedule
612330,1364.1202083767735,schedule
616324,1363.5196547117534,schedule
621312,1363.047618454462,schedule
624855,1362.4953721977604,schedule
628381,1362.1048171735438,schedule
632036,1359.8872958573581,schedule
635836,1356.9269577948694,schedule
639787,1355.546215927287,schedule
644701,1355.5232119900136,schedule
648570,1352.5370686017516,schedule
651955,1351.7356590688473,schedule
655741,1351.0613316142278,schedule
659239,1350.9964852449962,schedule
662898,1350.8721089039145,schedule
666435,1350.407032773214,schedule
670071,1350.3442039700205,schedule
673796,1348.9870309582445,schedule
677400,1348.754894223191,schedule
681827,1348.2552296999527,schedule
685554,1341.4059379263717,schedule
689164,1337.8815937859404,schedule
692687,1334.7778320614705,schedule
696159,1333.2242958371596,schedule
700912,1331.1164373917998,schedule
704268,1330.4960273921795,schedule
844754,1286.1681564258943,schedule
950257,1284.9231580349792,schedule
954631,1284.5617072942212,schedule
959556,1284.049821598178,schedule
963809,1283.2433457405693,schedule
968410,1282.2990099587912,schedule
973666,1281.022167614803,schedule
977582,1278.0241916367997,schedule
986735,1277.5051399792906,schedule
991855,1276.9370804608184,schedule
995535,1276.3819019819653,schedule
999004,1275.9316924044767,schedule
1003428,1275.7097006704694,schedule
1007094,1274.9633594430195,schedule
1012105,1274.9416570032688,schedule
1015671,1271.9811611136408,schedule
1019176,1271.9513627610147,schedule
1022751,1271.4382450818432,schedule
1026090,1271.2912819895444,schedule
1030256,1271.0602300850119,schedule
1034767,1270.3290803538412,schedule
1038516,1270.0318151254155,schedule
1042418,1269.2537245959434,schedule
1046235,1269.2120938565472,schedule
1049717,1268.6412180826653,schedule
1053655,1267.3999871881038,schedule
1057611,1267.1378258096386,schedule
1062377,1266.8732438132622,schedule
1066371,1258.8864891923115,schedule
1070426,1258.015872274174,schedule
1073935,1255.2977400279156,schedule
1077608,1253.6379047621774,schedule
1083027,1253.5942324739995,schedule
1087014,1253.4380394751654,schedule
1090349,1253.424283252753,schedule
1093444,1253.0551624034435,schedule
1096745,1253.0329728650606,schedule
1230284,1249.6529889507622,schedule
1243761,1248.507761308334,schedule
1249080,1248.33552230406,schedule
1254206,1247.9284664284849,schedule
1258921,1247.2847146100808,schedule
1267410,1247.2037451038495,schedule
1274403,1246.9198706968737,schedule
1279998,1246.373473652113,schedule
1283731,1246.1287003607047,schedule
1287252,1245.786816324692,schedule
1290753,1244.3268166814883,schedule
1294189,1240.9548234708514,schedule
1297578,1240.3317529352128,schedule
1301472,1239.818564615941,schedule
1305863,1239.7904986361748,schedule
1310543,1239.5203523366401,schedule
1314013,1239.2845603331302,schedule
1320069,1238.4662193625527,schedule
1324382,1238.4179098469995,schedule
1330166,1238.242345049503,schedule
1334806,1238.0841412031295,schedule
1339745,1237.6850069747027,schedule
1343384,1236.3410131834753,schedule
1346879,1236.1548347446414,schedule
1353391,1234.9570913983591,schedule
1356588,1234.5379308823083,schedule
1360311,1234.5354346498134,schedule
1363654,1233.670999575811,schedule
1367159,1233.539418029242,schedule
1371767,1233.4425458977514,schedule
1375862,1231.5649118505896,schedule
1379609,1230.6425669134464,schedule
1382932,1230.3796627419097,schedule
1386327,1228.776905093625,schedule
1389855,1227.3834862981657,schedule
1487613,1225.2876101299355,schedule
1593357,1224.4758303223289,schedule
1599205,1224.1290221889763,schedule
1603437,1224.0632706790382,schedule
1608069,1223.401708623581,schedule
1619420,1223.3117290928928,schedule
1624660,1219.847470713266,schedule
1628845,1219.2857330740437,schedule
1632519,1215.808199889074,schedule
1637487,1215.3759243505924,schedule
1641913,1215.3280509399767,schedule
1647566,1215.0769696144935,schedule
1652963,1214.5707098612909,schedule
1657527,1213.9897969494966,schedule
