wall_ms,sse,stage
573440,1420.2155126494274,construct
594334,1382.1862257937285,schedule
599471,1380.9296059418882,schedule
604654,1380.1832299353493,schedule
609966,1379.6604489822068,schedule
614140,1376.1921747158126,schedule
618508,1374.4982021786852,schedule
623050,1368.3947822158566,schedule
627166,1367.3700786576637,schedule
632475,1366.992490903764,schedule
637227,1366.7358351843877,schedule
643839,1366.5972498634237,schedule
648299,1366.3597234897986,schedule
653165,1365.3842633940953,schedule
657602,1364.8007992429539,schedule
663488,1364.1202083767735,schedule
667976,1363.5196547117534,schedule
672967,1363.047618454462,schedule
677267,1362.4953721977604,schedule
681548,1362.1048171735438,schedule
685833,1359.8872958573581,schedule
690313,1356.9269577948694,schedule
694796,1355.546215927287,schedule
699950,1355.5232119900136,schedule
704296,1352.5370686017516,schedule
708315,1351.7356590688473,schedule
712921,1351.0613316142278,schedule
717068,1350.9964852449962,schedule
721151,1350.8721089039145,schedule
725138,1350.407032773214,schedule
729598,1350.3442039700205,schedule
733889,1348.9870309582445,schedule
738394,1348.754894223191,schedule
743760,1348.2552296999527,schedule
748267,1341.4059379263717,schedule
912880,1297.8953406354392,schedule
1023992,1296.6508301463912,schedule
1028955,1296.2877620516356,schedule
1034788,1295.7781008777467,schedule
1039547,1294.9708012667527,schedule
1045018,1294.0264822572085,schedule
1051282,1292.751948325134,schedule
1056245,1289.752466750875,schedule
1068273,1289.2339903009931,schedule
1074904,1288.6676807140411,schedule
1078990,1288.107212465816,schedule
1083372,1287.6582299804877,schedule
1088683,1287.434885306682,schedule
1093267,1286.6885204225828,schedule
1099209,1286.6656030333281,schedule
1103489,1283.7074702634009,schedule
1107598,1283.6761896387234,schedule
1111604,1283.163555125043,schedule
1115995,1283.0164728407933,schedule
1121114,1282.782604589383,schedule
1126409,1282.199287686473,schedule
1130722,1278.6609017298204,schedule
1135200,1276.0948137447504,schedule
1139458,1272.3680357892295,schedule
1143821,1271.3868433108612,schedule
1149526,1269.9805190585364,schedule
1153463,1269.219820403056,schedule
1157189,1268.947341875383,schedule
1162252,1268.6828347330386,schedule
1166988,1260.697745097964,schedule
1171448,1259.8269893975673,schedule
1330292,1257.1268101830726,schedule
1346506,1255.981212562953,schedule
1352949,1255.8113977304988,schedule
1358464,1255.405085443599,schedule
1363656,1254.761334278988,schedule
1373803,1254.6805800016903,schedule
1381970,1254.3967290913897,schedule
1387948,1253.8452394096591,schedule
1392219,1253.6202775452277,schedule
1396352,1253.2689330703424,schedule
1400574,1251.7326322988717,schedule
1404655,1248.405995319088,schedule
1408789,1247.7824057324249,schedule
1413048,1247.2690747099443,schedule
1417759,1247.2404350690656,schedule
1422856,1246.9758186558208,schedule
1426994,1246.7250246725287,schedule
1434377,1245.9278990338346,schedule
1439383,1245.5942881038093,schedule
1443487,1245.1301233937681,schedule
1447813,1244.8811342512818,schedule
1452492,1243.9680143404148,schedule
1457113,1243.762008792077,schedule
