wall_ms,sse,stage
40805,1966.6951847087782,construct
44393,1966.6951847087782,refine:start
45847,1966.6951847087782,refine:gates
54720,1953.0395671021415,refine:cd
63019,1951.9616546284824,refine:cd
74373,1949.7800243881186,refine:cd
85857,1948.1800879964017,refine:cd
97818,1946.5559681277011,refine:cd
107129,1944.6378945199206,refine:cd
116064,1944.145143308218,refine:cd
125812,1943.80784510724,refine:cd
134884,1943.488362577937,refine:cd
142961,1943.4315802009144,refine:cd
151865,1943.2932971533146,refine:cd
161103,1942.970335591779,refine:cd
169129,1942.8870484075608,refine:cd
177246,1942.588505047882,refine:cd
185315,1942.468886117265,refine:cd
194395,1942.3921869315377,refine:cd
202493,1942.3418488911493,refine:cd
211090,1942.3001246810056,refine:cd
219190,1942.1322134511988,refine:cd
228688,1942.1093410845865,refine:cd
236907,1942.0817063828986,refine:cd
245068,1941.995898988086,refine:cd
253086,1941.8957121789454,refine:cd
261412,1941.881390699543,refine:cd
271712,1941.8412749471197,refine:cd
279982,1941.699506533543,refine:cd
288305,1941.698964341289,refine:cd
296476,1941.6974554072044,refine:cd
304800,1941.6941145557676,refine:cd
313759,1941.6827657908443,refine:cd
321771,1941.6761000741874,refine:cd
330649,1941.6364131177097,refine:cd
338860,1941.6056825648323,refine:cd
347142,1941.557290482566,refine:cd
355142,1941.554911355779,refine:cd
363320,1941.5160812885858,refine:cd
371497,1941.5142379957001,refine:cd
379542,1941.5133274722634,refine:cd
388048,1941.5053358240523,refine:cd
396244,1941.217962975297,refine:cd
404384,1940.9417009757115,refine:cd
412893,1940.8821590300158,refine:cd
421452,1939.2812914730812,refine:cd
429481,1938.6566681027712,refine:cd
437669,1937.7657109828224,refine:cd
445733,1936.8652634908021,refine:cd
453900,1936.3726334802302,refine:cd
461972,1935.5056849101327,refine:cd
469992,1935.2941038288122,refine:cd
473149,1935.2019618660165,refine:cd-done
