wall_ms,sse,stage
25993,36.39520805802917,construct
26626,36.39520805802917,refine:start
26849,36.39520805802917,refine:gates
35528,35.70603743371205,refine:cd
43616,34.965343962918766,refine:cd
51703,34.3554456544879,refine:cd
59729,34.07088403027743,refine:cd
67784,33.85942156731003,refine:cd
75834,33.717275926454455,refine:cd
83870,33.643841802714796,refine:cd
91904,33.573761644012265,refine:cd
99928,33.530921881517514,refine:cd
107934,33.48989196900076,refine:cd
115935,33.45817647513642,refine:cd
123938,33.42237840174767,refine:cd
132050,33.396167480998805,refine:cd
140068,33.362962718565534,refine:cd
148081,33.32702242884658,refine:cd
154480,33.28999657812696,refine:cd-done
