wall_ms,sse,stage
215289,240.94669671611032,construct
219811,240.6772607093781,schedule
221017,240.67678811630313,schedule
222052,240.48282843665467,schedule
223311,240.44786757763498,schedule
224298,240.36711607125497,schedule
225407,240.26961733685468,schedule
226203,240.23906140115272,schedule
227135,240.2384921577547,schedule
228042,240.22403699912175,schedule
229080,240.22077791170008,schedule
229979,240.21944433421422,schedule
230839,240.11847546596385,schedule
231815,240.10704799561444,schedule
232681,239.96414483085465,schedule
233524,239.90997138770007,schedule
234443,239.9044978365085,schedule
235346,239.90422254090043,schedule
236433,239.88661345612604,schedule
237423,239.88547476545068,schedule
238373,239.8543267125873,schedule
239466,239.84036821800413,schedule
240489,239.83092438448745,schedule
241487,239.8113485795603,schedule
242401,239.78757534300289,schedule
243414,239.77817521575054,schedule
244160,239.77685670017303,schedule
244950,239.77545619408997,schedule
245882,239.7029584699288,schedule
246867,239.70235795183592,schedule
247957,239.6708599572688,schedule
249123,239.61861966214,schedule
249885,239.6053969645683,schedule
250940,239.55168167208816,schedule
251841,239.46102777020334,schedule
252794,239.34135293018622,schedule
253858,239.32750053865317,schedule
254957,239.32538317213408,schedule
256083,239.29855649327675,schedule
257157,239.29620200997226,schedule
258115,239.24984337326998,schedule
259225,239.13821584203112,schedule
260163,239.1257310900079,schedule
261248,239.0881510230134,schedule
262108,239.03402905592824,schedule
262987,239.0138059446623,schedule
263922,239.01300564910204,schedule
264833,238.99794722534182,schedule
265592,238.9955689600506,schedule
266524,238.96226168178572,schedule
267446,238.94283550495715,schedule
268274,238.79944204960026,schedule
269307,238.71314252303995,schedule
270412,238.59510385155323,schedule
271421,238.57685427909172,schedule
272365,238.57671716879028,schedule
273261,238.5540223019587,schedule
274281,238.54806603594028,schedule
275317,238.50050501499845,schedule
276376,238.4940735058466,schedule
277295,238.34316764062686,schedule
277965,238.22843044227466,schedule
278864,238.19883694804003,schedule
280010,238.14151811411813,schedule
280849,238.0867606567155,schedule
281763,238.08571813799816,schedule
282782,238.08238248666655,schedule
283739,238.05212197421667,schedule
284601,238.05166606266238,schedule
285461,238.03778557348937,schedule
286473,238.0257935983364,schedule
287468,238.01896716990296,schedule
288591,238.00957354976293,schedule
289621,237.95261400675366,schedule
290636,237.9453113693678,schedule
291663,237.9384886310885,schedule
292644,237.9189663455701,schedule
293436,237.91816630162663,schedule
294312,237.90762222798486,schedule
295216,237.90758105357693,schedule
296269,237.89355750177046,schedule
297159,237.67383977168564,schedule
298213,237.4961963210479,schedule
299204,237.44827087065752,schedule
300037,237.2857474235612,schedule
300971,237.26152803859196,schedule
301925,237.19312968366475,schedule
302684,236.95665264786018,schedule
303651,236.84899053021078,schedule
304539,236.6124120309335,schedule
305604,236.58247234139662,schedule
307959,236.51944174442048,schedule
308963,236.51792479240157,schedule
309836,236.51501502026116,schedule
310752,236.48029464480604,schedule
311820,236.47054717734161,schedule
312664,236.4548205627662,schedule
313637,236.3787886559678,schedule
314657,236.28876212016527,schedule
315475,236.26517259272916,schedule
316257,236.22561509199292,schedule
317171,236.18830988651644,schedule
318206,236.1865821063304,schedule
319008,236.16108700597323,schedule
319945,236.11377968819065,schedule
320935,236.1072001273346,schedule
321968,235.72988966488035,schedule
322906,234.9710399500223,schedule
323947,234.53154985999103,schedule
324998,234.22057891623317,schedule
325875,234.03342950051493,schedule
326807,234.02186575212843,schedule
327576,233.90389985431707,schedule
328450,233.90253243369816,schedule
331355,233.73910331855885,schedule
332485,233.57183035745524,schedule
333298,233.51684706528616,schedule
334023,233.2828221093434,schedule
334935,233.19204280679023,schedule
335884,233.03954982432828,schedule
336723,232.9468897060492,schedule
337627,232.74486463692344,schedule
338752,232.71432068102072,schedule
339719,232.66451530296334,schedule
340483,232.66291718855078,schedule
341575,232.55258442848864,schedule
342581,232.52408116943232,schedule
343454,232.47602572099623,schedule
344300,232.45552196336484,schedule
345333,232.39312575791894,schedule
346152,232.3891132479633,schedule
347080,232.3679327112171,schedule
348307,232.36559285753475,schedule
349255,232.327938196042,schedule
350332,232.31726280643426,schedule
351265,232.31482772303997,schedule
352434,232.2698462516198,schedule
353343,232.2495390545779,schedule
354253,232.13275288624504,schedule
355250,232.1032364323509,schedule
356220,232.10127775404067,schedule
357087,232.0807884252542,schedule
358286,232.0576548632548,schedule
359191,232.05737110269152,schedule
360340,232.00715630871537,schedule
361269,232.00330293113706,schedule
362129,231.95683948467837,schedule
362880,231.71685555996953,schedule
363800,231.61036794567383,schedule
364780,231.55023201820882,schedule
365813,231.52719496961436,schedule
366720,231.24860790428028,schedule
367690,231.20990143929512,schedule
368683,231.20968164856123,schedule
