wall_ms,sse,stage
58624,312.9516770248012,construct
59348,312.9516770248012,refine:start
59545,312.9516770248012,refine:gates
67728,310.74317185753563,refine:cd
76281,309.94556027533457,refine:cd
84299,309.70175457091426,refine:cd
92342,309.5912027738424,refine:cd
100375,309.1101003594389,refine:cd
108406,308.61848304481515,refine:cd
116456,308.2741694999658,refine:cd
124460,307.56010928701005,refine:cd
132504,306.9825397358601,refine:cd
140515,306.6357388287413,refine:cd
148532,306.5019608702075,refine:cd
149416,306.48431483306797,refine:cd-done
